Suj;Explicaiblity;Satisfaction;Utilisability;Manip
15;Unguided;48.6979;72.1354;2
15;Guided;53.9063;52.6042;2
15;Unguided;64.3229;55.2083;2
15;Guided;56.5104;57.8125;2
15;Unguided;60.4167;53.9063;2
15;Guided;74.7396;86.4583;2
15;Unguided;85.1563;69.5313;2
15;Guided;91.6667;77.3438;2
15;Unguided;86.4583;74.7396;2
15;Guided;87.7604;68.2292;2
15;Unguided;91.6667;59.1146;2
16;Guided;82.5521;87.7604;2
16;Unguided;87.7604;90.3646;2
16;Guided;64.3229;55.2083;2
16;Unguided;57.8125;43.4896;2
16;Guided;55.2083;44.7917;2
16;Unguided;56.5104;39.5833;2
16;Guided;81.25;57.8125;2
16;Unguided;85.1563;55.2083;2
16;Guided;89.0625;87.7604;2
16;Unguided;83.8542;74.7396;2
16;Guided;65.625;73.4375;2
16;Unguided;81.25;79.9479;2
18;Guided;38.2813;39.5833;2
18;Unguided;36.9792;36.9792;2
18;Guided;25.2604;56.5104;2
18;Unguided;57.8125;60.4167;2
18;Guided;35.6771;59.1146;2
18;Unguided;42.1875;60.4167;2
18;Guided;36.9792;36.9792;2
18;Unguided;60.4167;60.4167;2
18;Guided;23.9583;36.9792;2
18;Unguided;38.2813;38.2813;2
18;Guided;36.9792;38.2813;2
18;Unguided;61.7188;60.4167;2
19;Guided;53.9063;61.7188;2
19;Unguided;94.2708;100;2
19;Guided;74.7396;94.2708;2
19;Unguided;98.6979;77.3438;2
19;Guided;59.1146;100;2
19;Unguided;54.4271;98.1771;2
19;Guided;51.3021;52.6042;2
19;Unguided;69.5313;98.6979;2
19;Guided;50.5208;55.2083;2
19;Unguided;72.1354;98.6979;2
19;Guided;56.5104;94.2708;2
19;Unguided;51.3021;58.3333;2
20;Guided;46.0938;40.8854;2
20;Unguided;44.7917;44.7917;2
20;Guided;23.9583;43.4896;2
20;Unguided;36.9792;36.9792;2
20;Guided;34.375;34.375;2
20;Unguided;36.9792;36.9792;2
20;Unguided;47.3958;47.3958;2
20;Guided;38.2813;36.9792;2
