NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Temporal Binding;Decision Confidence
1;8;Forced;Easy;Correct;0.25;Unguided;Correct;250;8
1;8;Forced;Hard;Correct;0.25;Unguided;Correct;-50;8
1;8;Forced;Hard;Error;0.25;Unguided;Error;-50;1
1;8;Forced;Medium;Correct;1.25;Unguided;Correct;150;8
1;8;Forced;Medium;Correct;0.25;Unguided;Correct;950;8
1;8;Free;Hard;Correct;0.75;Unguided;Correct;550;8
1;8;Free;Easy;Correct;1.25;Unguided;Correct;-350;8
1;8;Free;Medium;Correct;1.25;Unguided;Correct;-50;8
1;8;Forced;Easy;Correct;0.25;Unguided;Correct;950;8
1;8;Free;Medium;Correct;0.75;Unguided;Correct;249;8
1;8;Forced;Easy;Correct;1.25;Unguided;Correct;-50;8
1;9;Free;Hard;Correct;1.25;Guided;Correct;-50;8
1;9;Free;Hard;Correct;0.75;Guided;Correct;250;8
1;9;Free;Easy;Correct;0.25;Guided;Correct;750;8
1;9;Forced;Medium;Correct;1.25;Guided;Correct;150;8
1;9;Free;Hard;Correct;0.75;Guided;Correct;450;8
1;9;Free;Easy;Correct;1.25;Guided;Correct;250;8
1;9;Forced;Hard;Correct;1.25;Guided;Correct;-250;8
1;9;Free;Medium;Correct;0.25;Guided;Correct;1050;8
1;9;Free;Medium;Correct;1.25;Guided;Correct;250;8
1;9;Forced;Hard;Error;0.75;Guided;Error;-250;6
1;9;Forced;Easy;Correct;1.25;Guided;Correct;250;4
1;9;Free;Medium;Correct;0.75;Guided;Correct;-50;8
1;9;Forced;Hard;Correct;0.75;Guided;Correct;50;8
1;9;Free;Easy;Correct;0.25;Guided;Correct;250;8
1;9;Forced;Hard;Error;0.25;Guided;Error;50;1
1;9;Forced;Easy;Correct;0.25;Guided;Correct;50;8
1;9;Forced;Easy;Correct;0.75;Guided;Correct;-450;8
1;9;Forced;Medium;Correct;0.25;Guided;Correct;450;8
1;9;Forced;Medium;Error;1.25;Guided;Error;-850;1
1;9;Free;Easy;Correct;0.75;Guided;Correct;-450;8
1;9;Free;Easy;Correct;1.25;Guided;Correct;-250;8
1;9;Free;Medium;Correct;1.25;Guided;Correct;-350;8
1;9;Forced;Medium;Correct;0.75;Guided;Correct;50;8
1;9;Free;Hard;Correct;0.25;Guided;Correct;650;8
1;9;Forced;Medium;Correct;0.75;Guided;Correct;550;8
1;9;Forced;Hard;Correct;0.25;Guided;Correct;250;2
1;9;Free;Medium;Correct;0.75;Guided;Correct;-150;8
1;9;Free;Hard;Error;0.25;Guided;Correct;250;3
1;9;Forced;Easy;Correct;1.25;Guided;Correct;-50;8
1;9;Free;Easy;Correct;0.75;Guided;Correct;150;8
1;9;Forced;Easy;Correct;0.25;Guided;Correct;650;8
1;9;Free;Medium;Correct;0.25;Guided;Correct;550;8
1;9;Forced;Easy;Correct;0.75;Guided;Correct;150;8
1;9;Forced;Hard;Correct;1.25;Guided;Correct;-350;8
1;9;Free;Hard;Correct;1.25;Guided;Error;50;4
1;9;Forced;Medium;Correct;0.25;Guided;Correct;250;8
1;10;Forced;Easy;Correct;0.75;Unguided;Correct;50;8
1;10;Forced;Medium;Correct;1.25;Unguided;Correct;-450;8
1;10;Forced;Hard;Correct;0.75;Unguided;Correct;50;8
1;10;Forced;Hard;Correct;0.25;Unguided;Correct;-50;8
1;10;Free;Medium;Correct;1.25;Unguided;Error;-850;1
1;10;Free;Hard;Correct;1.25;Unguided;Correct;-750;8
1;10;Free;Easy;Correct;1.25;Unguided;Correct;-450;8
1;10;Forced;Medium;Correct;0.25;Unguided;Correct;550;8
1;10;Free;Hard;Correct;0.75;Unguided;Error;-50;1
1;10;Forced;Medium;Correct;0.75;Unguided;Correct;-250;8
1;10;Free;Hard;Correct;0.25;Unguided;Correct;50;5
1;10;Free;Easy;Correct;0.75;Unguided;Correct;-450;8
1;10;Forced;Hard;Correct;0.25;Unguided;Correct;150;8
1;10;Forced;Medium;Correct;0.75;Unguided;Correct;-50;8
1;10;Forced;Easy;Correct;0.25;Unguided;Correct;50;8
1;10;Free;Easy;Correct;0.25;Unguided;Correct;550;8
1;10;Forced;Medium;Correct;0.25;Unguided;Correct;150;8
1;10;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;10;Free;Medium;Correct;0.25;Unguided;Correct;650;8
1;10;Forced;Easy;Correct;0.75;Unguided;Correct;-350;8
1;10;Free;Medium;Correct;1.25;Unguided;Correct;250;8
1;10;Forced;Easy;Correct;0.25;Unguided;Correct;50;8
1;10;Forced;Medium;Correct;1.25;Unguided;Correct;-450;8
1;10;Forced;Easy;Correct;1.25;Unguided;Correct;-350;8
1;10;Free;Medium;Error;0.75;Unguided;Correct;150;8
1;10;Free;Easy;Correct;0.75;Unguided;Correct;-50;8
1;10;Free;Hard;Error;0.25;Unguided;Correct;350;2
1;10;Forced;Hard;Correct;1.25;Unguided;Correct;-450;8
1;10;Forced;Hard;Correct;0.75;Unguided;Correct;50;1
1;10;Free;Medium;Correct;0.75;Unguided;Error;150;1
1;10;Free;Easy;Correct;0.25;Unguided;Correct;200;8
1;10;Free;Hard;Error;1.25;Unguided;Correct;-50;1
1;10;Free;Medium;Correct;0.25;Unguided;Correct;350;2
1;10;Forced;Hard;Error;1.25;Unguided;Error;-450;1
1;10;Free;Hard;Correct;0.75;Unguided;Error;249;1
1;10;Free;Easy;Correct;1.25;Unguided;Correct;-450;8
1;11;Free;Hard;Correct;0.25;Guided;Correct;-50;3
1;11;Free;Easy;Correct;1.25;Guided;Correct;-450;8
1;11;Forced;Medium;Correct;0.75;Guided;Correct;249;8
1;11;Forced;Easy;Correct;1.25;Guided;Correct;-251;8
1;11;Free;Easy;Correct;1.25;Guided;Correct;-251;8
1;11;Free;Medium;Correct;0.25;Guided;Correct;640;8
1;11;Forced;Easy;Correct;1.25;Guided;Correct;-50;8
1;11;Free;Hard;Correct;1.25;Guided;Correct;250;8
1;11;Forced;Hard;Error;1.25;Guided;Error;-350;1
1;11;Free;Medium;Correct;0.75;Guided;Correct;50;8
1;11;Forced;Easy;Correct;0.75;Guided;Correct;150;8
1;11;Forced;Hard;Error;0.75;Guided;Error;150;1
1;11;Free;Easy;Correct;0.75;Guided;Correct;249;8
1;11;Free;Easy;Correct;0.75;Guided;Correct;150;8
1;11;Forced;Easy;Correct;0.75;Guided;Correct;450;8
1;11;Forced;Medium;Error;0.75;Guided;Error;-150;1
1;11;Free;Hard;Correct;0.75;Guided;Correct;150;8
1;11;Free;Hard;Correct;0.25;Guided;Error;150;4
1;11;Forced;Medium;Correct;0.25;Guided;Correct;350;8
1;11;Free;Medium;Correct;0.25;Guided;Correct;550;8
1;11;Forced;Hard;Correct;1.25;Guided;Correct;-350;8
1;11;Forced;Easy;Correct;0.25;Guided;Correct;650;8
1;11;Forced;Hard;Correct;0.25;Guided;Correct;650;8
1;11;Free;Medium;Correct;1.25;Guided;Correct;-350;8
1;11;Free;Easy;Correct;0.25;Guided;Correct;550;8
1;11;Forced;Hard;Correct;0.25;Guided;Correct;50;8
1;11;Forced;Medium;Correct;0.25;Guided;Correct;50;8
1;11;Free;Easy;Correct;0.25;Guided;Correct;150;8
1;11;Free;Hard;Error;0.75;Guided;Error;-50;3
1;11;Free;Medium;Correct;1.25;Guided;Correct;-50;8
1;11;Forced;Medium;Correct;1.25;Guided;Correct;-350;8
1;11;Forced;Medium;Correct;1.25;Guided;Correct;250;8
1;11;Forced;Easy;Correct;0.25;Guided;Correct;638;8
1;11;Forced;Hard;Correct;0.75;Guided;Correct;150;8
1;11;Free;Medium;Correct;0.75;Guided;Correct;50;8
1;11;Free;Hard;Correct;1.25;Guided;Error;-251;2
1;12;Free;Medium;Correct;0.25;Unguided;Correct;350;2
1;12;Forced;Easy;Correct;0.25;Unguided;Correct;250;8
1;12;Free;Easy;Correct;1.25;Unguided;Correct;250;8
1;12;Free;Medium;Correct;0.25;Unguided;Error;450;7
1;12;Free;Easy;Correct;0.25;Unguided;Correct;50;8
1;12;Free;Hard;Correct;1.25;Unguided;Error;250;8
1;12;Forced;Medium;Correct;0.25;Unguided;Correct;550;8
1;12;Forced;Medium;Correct;0.75;Unguided;Correct;-50;8
1;12;Free;Medium;Error;1.25;Unguided;Correct;-50;8
1;12;Free;Easy;Correct;0.75;Unguided;Correct;249;8
1;12;Forced;Medium;Correct;1.25;Unguided;Correct;-350;8
1;12;Free;Medium;Correct;1.25;Unguided;Correct;250;8
1;12;Free;Hard;Correct;0.75;Unguided;Correct;50;1
1;12;Forced;Hard;Correct;0.75;Unguided;Correct;49;8
1;12;Forced;Easy;Correct;1.25;Unguided;Correct;-251;8
1;12;Forced;Medium;Correct;0.25;Unguided;Correct;749;6
1;12;Forced;Easy;Correct;0.75;Unguided;Correct;249;8
1;12;Forced;Easy;Correct;0.75;Unguided;Correct;138;8
1;12;Free;Hard;Error;0.75;Unguided;Correct;249;8
1;12;Forced;Hard;Correct;0.25;Unguided;Correct;550;4
1;12;Forced;Easy;Correct;1.25;Unguided;Correct;-450;8
1;12;Free;Hard;Correct;0.25;Unguided;Correct;650;4
1;12;Forced;Hard;Correct;1.25;Unguided;Correct;-450;6
1;12;Forced;Medium;Correct;1.25;Unguided;Correct;-251;8
1;12;Free;Easy;Correct;1.25;Unguided;Correct;50;8
1;12;Forced;Medium;Correct;0.75;Unguided;Correct;249;8
1;12;Forced;Hard;Error;0.25;Unguided;Error;550;1
