NumSuj;NumBloc;Level of Automation;Difficulty;System Correctness;Latence (in s);Explicability;Subject Correctness;Type of Control;Temporal Binding (in ms);Score of Control
1;6;Free;Medium;Error;0.25;Unguided;Error;Felt;1049;5
1;6;Free;Hard;Correct;1.25;Unguided;Error;Felt;-350;7
1;6;Forced;Hard;Correct;0.25;Unguided;Correct;Felt;340;5
1;6;Free;Easy;Correct;1.25;Unguided;Correct;Felt;-360;7
1;6;Forced;Medium;Correct;1.25;Unguided;Correct;Felt;-490;6
1;6;Forced;Hard;Correct;1.25;Unguided;Correct;Felt;-482;6
1;6;Free;Hard;Error;0.75;Unguided;Correct;Felt;250;6
1;6;Free;Medium;Correct;0.75;Unguided;Error;Felt;450;7
1;6;Free;Medium;Correct;0.25;Unguided;Error;Felt;1250;6
1;6;Forced;Easy;Correct;0.25;Unguided;Correct;Felt;950;7
1;6;Free;Easy;Correct;0.75;Unguided;Error;Felt;750;5
1;6;Free;Hard;Error;0.25;Unguided;Correct;Felt;650;6
1;6;Forced;Medium;Correct;0.25;Unguided;Correct;Felt;540;7
1;6;Forced;Medium;Correct;1.25;Unguided;Correct;Felt;-250;6
1;6;Free;Hard;Correct;0.25;Unguided;Error;Felt;637;6
1;7;Free;Hard;Correct;1.25;Unguided;Correct;Used;-650;5
1;7;Free;Hard;Error;0.25;Unguided;Error;Used;450;8
1;7;Forced;Hard;Correct;0.75;Unguided;Correct;Used;50;6
1;7;Free;Medium;Correct;0.75;Unguided;Correct;Used;250;5
1;7;Free;Medium;Correct;0.75;Unguided;Correct;Used;750;5
1;7;Forced;Hard;Correct;1.25;Unguided;Correct;Used;-350;5
1;7;Free;Medium;Correct;0.25;Unguided;Correct;Used;751;4
1;7;Forced;Easy;Correct;1.25;Unguided;Correct;Used;-600;5
1;7;Forced;Medium;Correct;0.25;Unguided;Correct;Used;751;5
1;7;Forced;Easy;Correct;1.25;Unguided;Correct;Used;-50;6
1;7;Forced;Medium;Correct;1.25;Unguided;Correct;Used;-150;5
1;7;Forced;Medium;Correct;0.25;Unguided;Correct;Used;1250;5
1;7;Forced;Easy;Correct;0.25;Unguided;Correct;Used;900;5
1;7;Free;Hard;Error;1.25;Unguided;Error;Used;50;5
1;7;Forced;Hard;Correct;0.25;Unguided;Correct;Used;850;5
1;7;Free;Medium;Correct;0.25;Unguided;Correct;Used;1083;4
1;7;Free;Medium;Correct;1.25;Unguided;Correct;Used;-750;5
1;7;Forced;Hard;Correct;1.25;Unguided;Correct;Used;-500;5
1;7;Forced;Medium;Correct;1.25;Unguided;Correct;Used;-260;5
1;7;Forced;Easy;Correct;0.75;Unguided;Correct;Used;250;4
