NumSuj;Explicability;Difficulty;Level of Automation;Correct Rates (in %)
8;UnGuided;Medium;Forced;95
9;UnGuided;Medium;Forced;95
10;UnGuided;Medium;Forced;95
11;UnGuided;Medium;Forced;95
12;UnGuided;Medium;Forced;95
13;UnGuided;Medium;Forced;95
14;UnGuided;Medium;Forced;95
15;UnGuided;Medium;Forced;95
16;UnGuided;Medium;Forced;95
17;UnGuided;Medium;Forced;95
18;UnGuided;Medium;Forced;95
19;UnGuided;Medium;Forced;95
20;UnGuided;Medium;Forced;95
21;UnGuided;Medium;Forced;95
22;UnGuided;Medium;Forced;95
23;UnGuided;Medium;Forced;95
24;UnGuided;Medium;Forced;95
25;UnGuided;Medium;Forced;95
26;UnGuided;Medium;Forced;95
27;UnGuided;Medium;Forced;95
28;UnGuided;Medium;Forced;95
29;UnGuided;Medium;Forced;95
30;UnGuided;Medium;Forced;95
31;UnGuided;Medium;Forced;95
32;UnGuided;Medium;Forced;95
33;UnGuided;Medium;Forced;95
34;UnGuided;Medium;Forced;95
35;UnGuided;Medium;Forced;95
36;UnGuided;Medium;Forced;95
37;UnGuided;Medium;Forced;95
38;UnGuided;Medium;Forced;95
39;UnGuided;Medium;Forced;95
1;UnGuided;Hard;Forced;75
2;UnGuided;Hard;Forced;75
3;UnGuided;Hard;Forced;75
4;UnGuided;Hard;Forced;75
5;UnGuided;Hard;Forced;75
6;UnGuided;Hard;Forced;75
7;UnGuided;Hard;Forced;75
8;UnGuided;Hard;Forced;75
9;UnGuided;Hard;Forced;75
10;UnGuided;Hard;Forced;75
11;UnGuided;Hard;Forced;75
12;UnGuided;Hard;Forced;75
13;UnGuided;Hard;Forced;75
14;UnGuided;Hard;Forced;75
15;UnGuided;Hard;Forced;75
16;UnGuided;Hard;Forced;75
17;UnGuided;Hard;Forced;75
18;UnGuided;Hard;Forced;75
19;UnGuided;Hard;Forced;75
20;UnGuided;Hard;Forced;75
21;UnGuided;Hard;Forced;75
22;UnGuided;Hard;Forced;75
23;UnGuided;Hard;Forced;75
24;UnGuided;Hard;Forced;75
25;UnGuided;Hard;Forced;75
26;UnGuided;Hard;Forced;75
27;UnGuided;Hard;Forced;75
28;UnGuided;Hard;Forced;75
29;UnGuided;Hard;Forced;75
30;UnGuided;Hard;Forced;75
31;UnGuided;Hard;Forced;75
32;UnGuided;Hard;Forced;75
33;UnGuided;Hard;Forced;75
34;UnGuided;Hard;Forced;75
35;UnGuided;Hard;Forced;75
36;UnGuided;Hard;Forced;75
37;UnGuided;Hard;Forced;75
38;UnGuided;Hard;Forced;75
39;UnGuided;Hard;Forced;75
